Q5	human_2106826
Q4164871	position_8662
Q47150325	calendar_day_of_a_given_year_5521
Q1190554	occurrence_4166
Q28640	profession_2226
Q186117	timeline_2040
Q577	year_1591
Q12737077	occupation_1373
Q151885	concept_1272
Q47018478	calendar_month_of_a_given_year_1038
Q14795564	point_in_time_with_respect_to_recurrent_timeframe_1034
Q29964144	year_bc_964
Q170584	project_879
Q1969448	term_869
Q1047113	specialty_841
